"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q8","Q10","Q18","Q19","Q20","Q21"
"120","South","male","25-34",-1,0,-2,2,2,1,"1",2,1,-1,2
"121","South","female","25-34",1,2,1,2,2,2,"2",-1,-1,1,1
"122","Center","male","25-34",0,1,-1,1,2,2,"2",2,1,-1,1
"123","South","male","25-34",-2,1,-2,-1,2,2,"2",1,-1,-2,1
"124","North","female","25-34",-1,0,-1,2,1,-1,"1",2,-2,1,-1
"125","Jerusalem","male","25-34",0,1,-1,1,2,2,"2",-1,-2,NA,1
"126","South","male","25-34",1,1,-1,2,2,1,"2",2,-1,-1,1
"127","Tel Aviv","male","25-34",2,2,2,2,2,2,"1",2,-2,2,-2
"128","Jerusalem","female","25-34",1,1,1,2,2,2,"0",2,-2,-2,-1
"129","Center","male","25-34",0,0,-1,1,2,2,"0",-1,-2,-2,2
"130","Center","female","25-34",0,1,1,2,2,-1,"2",1,-2,1,-1
"131","Tel Aviv","male","25-34",1,0,-1,-2,2,NA,"2",-2,1,-1,1
"132","Tel Aviv","female","25-34",1,-1,-2,NA,2,-1,"1",-1,-2,-2,2
"133","Tel Aviv","male","25-34",0,2,1,-1,2,-1,"2",-1,1,1,-1
"134","South","male","25-34",1,2,1,2,2,1,"1",-1,-2,1,-1
"135","South","female","25-34",0,1,-1,2,2,1,"2",2,-1,-1,1
"136","Center","female","25-34",0,0,-1,-1,1,-1,"2",-1,-1,-1,-1
"137","Center","male","25-34",2,2,1,2,2,-2,"0",-2,-2,-1,-2
"138","South","male","25-34",1,2,-1,2,2,2,"2",-2,-2,NA,NA
"139","South","male","25-34",1,1,1,-1,2,2,"0",2,2,-2,2
"140","Center","male","25-34",1,1,1,2,2,2,"0",2,-1,-2,-1
"141","Judea and Samaria","female","25-34",-2,0,-2,-2,2,2,"2",2,NA,-2,2
"142","Haifa","male","25-34",2,2,1,2,2,2,"2",1,-1,-2,2
"143","North","male","25-34",1,0,1,1,2,2,"2",2,-2,-2,2
"144","Jerusalem","female","25-34",0,0,NA,-2,1,NA,"1",-1,-1,-1,1
"145","Jerusalem","female","25-34",0,0,-1,1,2,2,"0",2,1,-2,2
"146","Tel Aviv","male","25-34",1,1,1,-1,1,1,"2",-1,-1,-2,-1
"147","Haifa","female","25-34",1,2,-1,-1,-1,2,"1",-1,1,-2,1
"148","Tel Aviv","female","25-34",1,1,-1,1,2,1,"0",1,-1,-1,1
"149","Tel Aviv","female","25-34",-2,2,-2,-2,1,2,"2",2,2,-1,2
"150","Center","female","25-34",1,0,1,1,1,1,"1",2,-2,-1,-2
"151","Haifa","male","25-34",1,1,-1,2,2,2,"0",-1,-2,-1,-2
"152","Center","female","25-34",0,1,-1,1,-1,-1,"2",2,NA,-2,1
"153","Center","male","25-34",1,1,1,2,2,2,"0",1,-2,1,-2
"154","Tel Aviv","male","25-34",0,1,1,2,1,2,"1",2,-2,NA,2
"155","Jerusalem","female","25-34",0,1,-1,2,1,2,"1",-2,2,-2,-1
"156","Tel Aviv","female","25-34",-1,0,-2,1,-1,-2,"0",-2,-1,2,-2
"157","Jerusalem","female","25-34",-1,0,-2,2,-1,-1,"0",-2,1,2,-1
"158","Haifa","female","25-34",1,1,1,1,1,-1,"0",1,-1,-1,1
"159","Haifa","female","25-34",1,1,1,2,2,-1,"1",1,-2,-2,1
"160","Center","male","25-34",NA,NA,1,1,2,-2,"1",-2,-1,-1,2
"161","Center","female","25-34",1,2,1,1,2,1,"2",-1,1,1,-1
"162","Center","female","25-34",0,1,-2,1,2,-1,"1",-1,1,-2,1
"163","Jerusalem","male","25-34",1,1,-1,1,2,-1,"1",-1,1,1,-1
"164","Tel Aviv","male","25-34",1,-2,-2,1,-2,-2,"1",-1,-2,1,-1
"165","Jerusalem","male","25-34",1,1,1,1,2,2,"0",-2,-1,-2,2
"166","South","female","25-34",0,1,-1,1,-1,-2,"1",-1,-2,1,-2
"167","South","male","25-34",0,0,1,2,2,-2,"1",1,-2,-2,-1
"168","South","male","25-34",-2,0,-1,NA,-1,NA,"2",NA,2,-1,1
"169","Tel Aviv","female","25-34",1,1,-1,2,2,NA,"0",1,-2,2,-2
"170","Tel Aviv","female","25-34",0,1,-2,2,2,-1,"0",-2,NA,2,-1
"171","North","male","25-34",0,1,-1,2,-1,-1,"1",-2,-1,-1,-1
"172","Tel Aviv","female","25-34",0,1,-2,1,2,-2,"1",-2,-2,1,-2
