"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q8","Q10","Q18","Q19","Q20","Q21"
"677","Haifa","female","65+",0,1,1,1,1,2,"0",1,-1,-2,1
"678","South","male","65+",0,1,-1,1,2,-1,"1",2,1,-2,-1
"679","Center","male","65+",0,0,-2,2,1,1,"2",1,-1,-2,-1
"680","Tel Aviv","female","65+",2,2,-2,2,2,-2,"1",2,1,-2,2
"681","Tel Aviv","female","65+",-1,0,-2,-1,1,-1,"1",-1,1,-2,1
"682","Center","male","65+",1,1,-1,1,2,2,"0",-2,-2,-2,-1
"683","South","female","65+",0,1,-2,1,2,-2,"1",-2,-2,-2,2
"684","Jerusalem","female","65+",-2,0,-2,2,2,2,"1",2,-2,-2,2
"685","Tel Aviv","female","65+",-2,1,-1,2,2,-2,"1",-2,-2,-2,2
"686","Tel Aviv","male","65+",-1,0,-1,2,2,-2,"1",-2,-1,2,-2
"687","Tel Aviv","female","65+",0,1,NA,2,2,NA,"2",NA,NA,-1,1
"688","Jerusalem","female","65+",0,1,-1,2,1,-1,"0",-2,1,2,-2
"689","Haifa","female","65+",0,1,-1,2,2,1,"1",2,-2,-2,2
"690","Judea and Samaria","male","65+",1,1,-1,1,1,-1,"1",-1,-2,-2,2
"691","Tel Aviv","female","65+",1,1,1,2,2,-1,"0",2,-1,-2,2
"692","North","male","65+",1,1,-2,1,1,-1,"1",-1,-2,2,-2
"693","Tel Aviv","male","65+",1,1,-1,2,2,1,"2",2,-2,-2,-2
"694","Tel Aviv","female","65+",-2,1,-1,2,2,NA,"0",2,NA,-1,1
"695","Haifa","female","65+",1,2,1,2,2,2,"0",2,-2,-2,2
"696","South","female","65+",0,-1,-1,-2,1,2,"1",1,-2,-2,2
"697","Center","female","65+",1,1,NA,2,2,NA,"0",1,-1,-1,1
"698","Tel Aviv","female","65+",-1,2,-2,2,NA,-2,"1",-1,-2,2,-2
"699","Center","male","65+",1,1,-1,1,1,2,"1",2,-2,-2,-1
"700","Tel Aviv","female","65+",-1,1,-2,NA,1,1,"1",2,NA,-1,2
"701","South","male","65+",0,1,-2,1,NA,-2,"1",-2,-2,1,-1
"702","Haifa","female","65+",1,1,1,2,2,1,"0",2,-1,-2,1
"703","Haifa","female","65+",0,0,-2,2,2,-1,"1",1,-2,-1,2
"704","Tel Aviv","male","65+",1,0,-1,2,2,-1,"0",-2,-2,-2,-1
"705","Haifa","female","65+",0,0,NA,-2,2,-1,"2",-2,-2,-2,2
"706","Jerusalem","female","65+",0,0,1,2,2,-1,"0",2,-2,-2,1
"707","Jerusalem","male","65+",0,1,-2,2,-1,-1,"2",-2,1,-2,2
"708","Tel Aviv","male","65+",1,2,1,2,2,-1,"0",2,1,-2,2
"709","Haifa","male","65+",1,1,-2,1,2,-1,"1",2,2,-1,-1
"710","Center","female","65+",NA,-1,-1,NA,NA,2,"2",NA,-1,-1,NA
"711","South","male","65+",0,1,-1,-1,2,-1,"1",1,-1,-1,-1
"712","Tel Aviv","male","65+",1,1,-1,2,2,-1,"0",-2,-2,-1,-2
"713","North","female","65+",0,1,-1,1,1,1,"2",-1,-1,-1,1
"714","Tel Aviv","male","65+",0,1,-2,2,1,-1,"0",NA,-1,-1,1
"715","Center","male","65+",1,0,1,2,2,1,"2",2,2,-2,2
"716","South","male","65+",-1,0,-1,-1,-1,2,"2",2,-2,-1,1
"717","South","male","65+",0,1,-2,2,-1,-1,"1",-1,-1,-2,2
"718","Center","female","65+",-1,1,-2,-1,1,-1,"1",-2,-2,2,-2
"719","Center","male","65+",0,1,-2,2,2,-1,"1",-1,-1,1,-1
"720","Center","female","65+",0,-1,-1,-2,1,1,"1",-2,-2,-2,-2
"721","Haifa","male","65+",0,1,-1,1,1,NA,"1",-1,-1,2,-2
"722","North","male","18-24",-1,0,-1,2,2,-2,"1",2,-1,-2,1
"723","Center","male","25-34",0,1,1,1,2,1,"1",-1,-2,NA,NA
"724","Tel Aviv","male","25-34",0,1,-1,2,1,2,"0",1,-2,-2,-2
"725","Center","male","25-34",NA,1,1,2,1,-2,"0",1,-2,NA,NA
"726","Center","male","25-34",1,1,NA,1,1,2,"0",-1,-1,1,-1
"727","Center","male","25-34",1,1,1,1,2,1,"2",-1,-1,1,-1
"728","Center","male","25-34",0,1,-1,1,2,2,"0",NA,-1,-1,-1
"729","Haifa","male","25-34",0,-1,-1,1,1,2,"1",2,1,-1,1
"730","Center","male","35-44",0,1,-1,1,1,2,"1",1,-2,2,-2
"731","Center","female","35-44",1,1,-1,2,2,2,"0",2,1,2,2
"732","Haifa","female","35-44",-2,1,-1,2,2,NA,"2",2,-1,2,-1
"733","Haifa","female","35-44",0,0,-1,1,2,2,"2",-2,1,-2,2
"734","Center","female","35-44",0,1,-1,1,1,2,"2",2,-1,-1,1
"735","Tel Aviv","female","35-44",0,0,1,2,2,1,"2",2,NA,2,2
"736","Haifa","female","35-44",-1,-1,-2,-2,-2,-1,"1",2,1,1,1
"737","Judea and Samaria","female","35-44",-1,1,-2,2,2,-2,"2",2,2,-1,-2
"738","Center","female","35-44",0,1,-1,2,2,1,"2",1,NA,-1,1
"739","Center","female","35-44",1,1,-1,2,2,-1,"1",2,NA,2,-2
"740","Center","female","35-44",0,1,-1,2,2,1,"2",2,NA,NA,NA
"741","Jerusalem","male","35-44",-1,0,1,2,2,1,"1",2,-2,1,-1
"742","Center","male","35-44",0,0,-1,1,-1,-1,"0",-1,1,-1,-1
"743","Tel Aviv","male","35-44",0,0,-1,1,1,1,"2",2,1,1,-1
"744","Center","male","35-44",0,1,1,NA,2,1,"1",NA,NA,NA,NA
"745","Center","female","35-44",1,2,1,2,2,1,"1",-1,1,2,-2
"746","Jerusalem","female","35-44",0,1,2,1,1,1,"2",2,1,1,-1
"747","Tel Aviv","female","35-44",0,0,1,2,1,2,"2",2,-2,-2,2
"748","Jerusalem","female","35-44",1,1,-1,2,2,2,"0",1,NA,-2,2
"749","South","female","35-44",NA,NA,-1,1,1,-1,"1",-2,-2,-1,1
"750","North","female","45-54",1,1,1,1,2,2,"2",2,-1,-1,2
"751","Center","male","45-54",0,1,-1,-2,1,2,"1",-2,-1,1,-2
"752","Center","female","45-54",0,0,-1,1,1,1,"1",-2,-1,1,-1
"753","North","female","45-54",0,1,-1,1,1,2,"0",1,-1,-2,2
"754","South","male","45-54",0,0,-2,-2,-1,2,"-1",2,2,2,-2
"755","North","female","45-54",0,1,-1,1,2,2,"2",NA,NA,-2,-2
"756","Center","male","45-54",1,1,-1,2,2,1,"2",1,1,-2,1
"757","Center","female","45-54",1,1,-1,2,2,1,"2",-1,1,-2,2
"758","Haifa","female","45-54",0,0,-1,1,2,2,"1",2,-2,-2,2
"759","Center","female","45-54",1,1,2,2,2,1,"2",-2,-2,1,-1
"760","Center","female","45-54",NA,1,-2,1,1,2,"1",-1,1,-1,1
"761","Haifa","female","45-54",0,1,-1,1,1,2,"0",-1,-1,2,1
"762","South","male","45-54",1,2,-1,-1,NA,2,"1",-2,-2,-2,-1
"763","South","female","45-54",1,0,1,1,2,2,"2",2,2,2,2
"764","Tel Aviv","male","45-54",0,0,NA,1,-1,-1,"1",-1,-1,-2,-1
"765","South","female","55-64",1,1,1,1,2,-1,"2",2,-1,-2,NA
"766","Tel Aviv","female","55-64",0,1,-1,1,1,1,"2",-1,-1,-2,2
"767","South","female","55-64",1,1,-1,2,2,2,"2",1,1,-2,-2
"768","Jerusalem","female","55-64",0,0,-2,1,2,2,"2",-2,2,1,-1
"769","Tel Aviv","female","55-64",NA,0,-1,1,2,2,"1",2,2,-2,2
"770","Tel Aviv","female","55-64",-1,NA,-2,2,2,-2,"NA",-1,2,2,-2
"771","South","female","55-64",0,1,1,1,2,2,"1",-2,-1,-1,-2
"772","North","female","55-64",1,1,1,1,2,1,"1",2,1,1,1
"773","Haifa","male","55-64",0,1,-1,NA,2,2,"1",-2,-2,-2,-2
"774","South","female","55-64",0,-1,-1,-2,-1,2,"0",2,2,-1,NA
"775","Tel Aviv","male","55-64",1,0,1,2,2,2,"1",-2,-2,-2,-1
"776","Center","female","55-64",1,1,1,2,2,1,"0",-2,-2,-2,1
"777","Tel Aviv","female","55-64",1,1,-1,2,2,2,"2",2,2,-2,-1
"778","North","male","55-64",1,0,-1,1,1,2,"0",-2,-2,-2,2
"779","South","female","55-64",-1,-1,-2,2,1,2,"2",2,NA,-2,2
"780","Judea and Samaria","male","55-64",1,-1,-2,1,-1,1,"1",-2,2,2,-2
"781","Tel Aviv","female","55-64",0,-1,-1,1,1,2,"1",-2,2,-2,-2
"782","Center","male","55-64",1,0,-1,2,1,2,"1",-2,-2,-1,1
"783","South","female","65+",1,0,NA,-1,2,NA,"2",NA,NA,NA,NA
"784","South","female","65+",0,0,1,1,2,NA,"1",-1,-2,-2,-2
"785","Tel Aviv","male","65+",1,0,-1,1,1,1,"1",1,-1,1,1
"786","Tel Aviv","female","65+",0,1,-1,1,1,-2,"1",1,-2,-2,2
"787","Haifa","female","65+",1,1,1,2,2,2,"1",-2,-2,1,-1
"788","Haifa","male","65+",1,0,1,1,2,1,"2",-1,-2,-2,2
"789","North","female","65+",1,1,2,2,2,2,"0",2,2,-1,-1
"790","South","female","65+",0,0,-1,-1,2,2,"0",2,NA,-1,1
"791","Judea and Samaria","male","65+",1,1,-1,1,1,2,"2",-1,-1,1,-1
"792","Center","female","65+",1,1,1,1,1,1,"1",2,1,-1,2
"793","Haifa","female","65+",0,-1,-1,2,2,2,"0",-2,-2,-2,2
"794","South","female","65+",1,1,-2,1,-1,NA,"0",1,-2,1,1
"795","Tel Aviv","female","65+",1,1,1,1,2,2,"0",2,1,-2,-1
"796","North","female","65+",1,1,1,1,1,2,"2",-2,NA,-2,2
"797","Center","female","65+",1,1,1,1,2,2,"2",2,2,-2,2
"798","Jerusalem","male","65+",0,-1,-1,-2,-2,-1,"1",-1,1,1,NA
"799","Center","male","65+",1,0,1,1,1,1,"0",-1,-1,1,-1
"800","Jerusalem","male","65+",0,NA,-1,1,-2,2,"1",-2,NA,2,-2
"801","Tel Aviv","female","65+",0,0,-1,2,2,1,"1",-1,-2,-1,1
"802","Jerusalem","male","65+",0,-1,-2,2,2,-1,"1",-1,-1,-2,-1
"803","Center","female","65+",0,1,-1,2,2,2,"0",1,-2,1,-1
"804","Tel Aviv","male","65+",0,0,1,2,2,-1,"0",-1,-1,-1,-1
"805","Center","female","65+",0,0,2,2,2,2,"0",-2,NA,NA,-1
"806","Jerusalem","male","65+",0,0,-1,2,2,2,"0",2,-1,-2,1
"807","Tel Aviv","female","65+",1,1,NA,1,2,1,"0",2,2,-1,-1
"808","Tel Aviv","female","65+",0,1,-1,-1,2,2,"1",2,-2,1,1
"809","Tel Aviv","female","65+",0,1,-1,2,2,2,"2",NA,NA,NA,NA
"810","Tel Aviv","female","65+",1,2,1,1,2,NA,"2",-2,2,2,-2
"811","Jerusalem","female","65+",0,1,-2,2,-1,-2,"2",-2,2,2,-2
"812","North","male","65+",0,NA,1,NA,2,-2,"0",-2,2,-2,2
"813","South","female","65+",1,1,-1,1,1,NA,"1",-2,-2,2,-2
"814","North","male","65+",1,-1,1,2,1,1,"0",-2,NA,2,-2
"815","Center","female","65+",1,2,-1,2,2,2,"0",2,-2,-2,2
"816","South","male","65+",2,1,1,1,1,2,"0",2,-2,-2,2
"817","North","female","18-24",2,2,2,2,1,2,NA,2,2,2,2
"818","North","male","18-24",2,2,2,2,2,2,NA,2,2,1,2
"819","Jerusalem","female","45-54",0,1,1,1,1,2,NA,2,2,1,2
"820","North","male","35-44",2,2,2,2,2,2,NA,2,2,2,2
"821","Jerusalem","female","45-54",2,2,2,2,2,2,NA,2,2,2,2
"822","Haifa","male","35-44",1,1,2,2,1,1,NA,-2,1,-1,-1
"823","North","male","35-44",2,1,1,2,1,2,NA,2,2,2,2
"824","Haifa","male","45-54",2,2,2,2,2,2,NA,2,2,2,2
"825","North","female","45-54",2,2,2,2,2,2,NA,2,2,2,2
"826","North","female","65+",2,2,2,2,2,2,NA,2,2,2,2
"827","Jerusalem","female","45-54",-1,1,2,2,2,2,NA,2,2,2,1
"828","North","female","45-54",2,2,2,2,2,2,NA,2,2,2,2
"829","Center","female","35-44",2,2,2,2,2,2,NA,2,2,2,2
"830","North","female","25-34",2,2,2,2,2,2,NA,2,2,2,2
"831","Jerusalem","male","35-44",1,1,2,2,2,1,NA,2,2,2,2
"832","Jerusalem","male","35-44",0,1,-1,2,-2,1,NA,-1,-2,2,-1
"833","North","female","65+",0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834","South","female","25-34",1,0,1,-1,-1,-2,NA,NA,-2,-1,-1
"835","South","female","25-34",2,1,-1,-2,2,-2,NA,2,-1,-2,-1
"836","Jerusalem","male","25-34",1,2,1,2,2,1,NA,1,1,1,2
"837","Center","male","25-34",-2,-2,NA,-2,NA,2,NA,NA,-2,-2,2
"838","Haifa","male","18-24",2,1,1,-1,-1,NA,NA,NA,NA,NA,NA
"839","South","female","65+",0,-2,-2,-1,2,-2,NA,-2,-1,1,2
"840","South","female","18-24",1,NA,-2,-1,1,-1,NA,-1,1,2,1
"841","Haifa","female","18-24",1,-1,-2,-1,1,-2,NA,1,2,-2,1
"842","North","female","18-24",1,-1,-2,NA,-2,-1,NA,-1,1,2,-2
"843","South","female","25-34",-1,-2,1,2,1,1,NA,1,2,-2,-1
"844","Haifa","male","25-34",-2,1,-2,-1,-2,-2,"1",-2,1,2,-2
"845","Judea and Samaria","male","35-44",0,2,-1,-2,-2,-2,"1",-2,-1,-2,NA
"846","Tel Aviv","male","25-34",0,-1,-1,-1,2,2,"0",2,1,1,-1
"847","North","female","18-24",1,1,-1,-1,-1,-2,"1",-2,1,1,-2
"848","North","male","35-44",1,1,1,1,2,1,"-1",1,-1,1,1
"849","North","male","55-64",-2,-2,-1,NA,1,2,"1",1,-2,2,-1
"850","Center","male","25-34",1,1,-1,2,-1,-2,"1",-1,-2,1,-2
"851","Haifa","female","45-54",1,0,-1,-1,2,-2,"1",1,1,2,-2
"852","Haifa","female","45-54",0,-1,-2,-2,-2,-2,"1",-2,1,2,-2
"853","North","male","25-34",2,1,-1,1,2,-1,"1",-2,1,-1,-1
"854","Haifa","male","25-34",0,0,-1,2,-1,-1,"1",-2,1,2,-2
"855","North","male","35-44",1,0,-1,1,-2,1,"0",2,-2,2,2
"856","Center","male","18-24",2,1,NA,1,2,2,"1",2,-2,-1,1
"857","North","male","35-44",1,1,-1,1,1,1,"1",1,-2,2,-2
"858","North","male","25-34",0,0,-2,1,2,-2,"1",2,-2,2,-2
"859","North","male","35-44",1,1,1,1,1,-1,"1",-1,-1,2,-2
"860","North","male","18-24",1,-2,1,1,2,2,"NA",-1,-1,-1,1
"861","Center","female","25-34",0,-2,1,2,-2,-2,"1",-2,1,2,-2
"862","South","male","25-34",2,0,1,2,2,-2,"0",1,-1,-1,NA
"863","Center","male","55-64",2,-2,-2,-1,2,NA,"1",NA,NA,-2,NA
"864","North","male","45-54",0,0,-1,-1,1,-1,"1",1,-1,NA,NA
"865","North","male","45-54",-1,1,-1,-1,2,-2,"1",-1,-2,2,-2
"866","Haifa","female","45-54",-2,-1,-2,-2,-2,NA,"1",NA,-1,2,-2
"867","North","male","55-64",-2,-1,-2,1,2,-2,"1",-2,-2,2,-2
"868","North","male","55-64",1,1,NA,1,2,-1,"1",-1,NA,2,-2
"869","North","male","55-64",0,1,-1,-2,1,-1,"1",2,-2,-1,1
"870","Haifa","male","35-44",2,2,-1,1,1,-2,"1",-2,-1,2,-2
"871","North","male","25-34",-2,0,1,1,2,-1,"1",2,-2,2,-2
"872","North","male","25-34",1,1,1,-1,2,-2,"1",-2,-2,2,-2
"873","North","male","25-34",2,1,1,2,2,2,"0",1,2,2,1
"874","North","male","55-64",1,1,-1,1,2,NA,"0",2,-2,NA,NA
"875","North","male","35-44",0,0,-1,-1,1,-2,"1",2,-1,2,-2
"876","North","male","18-24",0,0,-2,-2,-2,-2,NA,-2,-2,2,-2
"877","North","male","18-24",1,0,2,2,1,1,NA,-1,-2,1,1
"878","Jerusalem","female","18-24",-1,0,-2,-2,-2,-2,NA,-1,-2,2,-2
"879","North","female","45-54",-1,1,NA,NA,NA,-1,NA,1,-1,2,2
"880","North","male","55-64",1,1,-1,2,2,2,NA,1,-1,1,-1
"881","Center","female","45-54",1,2,-1,1,1,-1,NA,1,1,2,2
"882","Center","female","18-24",-1,0,1,-1,-1,2,NA,NA,-1,2,-2
"883","Jerusalem","male","35-44",1,0,-1,2,1,-2,NA,1,1,-1,2
"884","Jerusalem","female","18-24",1,2,1,1,1,1,NA,2,1,1,1
"885","Haifa","male","55-64",2,0,1,1,-1,-2,NA,-1,-2,1,-1
"886","Jerusalem","female","65+",NA,0,-2,-2,-2,1,NA,NA,2,2,-2
"887","Jerusalem","female","55-64",1,-2,-1,-1,1,-1,NA,2,-1,-2,-2
"888","North","male","18-24",-2,0,1,-1,-1,-2,NA,2,-2,2,-2
"889","North","male","45-54",-2,-2,-2,1,-2,-2,NA,NA,-2,-2,NA
"890","Haifa","male","18-24",0,0,1,2,1,NA,NA,NA,-2,2,-1
"891","Jerusalem","female","35-44",-1,-2,-2,1,-2,-2,NA,NA,2,NA,-2
"892","North","female","55-64",2,1,1,1,1,1,NA,1,1,1,2
"893","North","female","55-64",0,0,2,1,-1,-1,NA,-2,1,NA,NA
"894","Jerusalem","male","35-44",1,1,1,-1,2,1,NA,-1,2,-2,2
"895","North","female","55-64",0,NA,1,NA,-2,-2,NA,-2,2,-2,-1
"896","Haifa","male","25-34",0,1,-1,1,1,1,NA,-2,-1,-1,1
"897","North","male","18-24",1,0,2,2,-1,2,NA,-1,-1,-1,-2
"898","Center","male","55-64",0,1,1,1,1,2,NA,1,1,-2,2
"899","North","male","35-44",1,1,1,1,1,-1,NA,-1,2,1,-2
"900","North","male","55-64",2,NA,NA,-2,-2,-2,NA,1,2,-2,1
"901","Haifa","female","18-24",1,1,-1,1,2,1,NA,-1,-1,1,1
"902","Haifa","female","18-24",2,0,1,2,1,1,NA,-2,1,-1,2
"903","North","male","65+",1,1,1,1,2,1,NA,-1,-2,1,-1
"904","North","male","45-54",2,1,1,1,2,1,NA,-1,1,1,1
"905","Haifa","male","35-44",2,1,1,-1,-1,-2,NA,-1,-2,-1,-2
"906","Haifa","female","45-54",-2,-2,-1,-2,-2,1,NA,NA,-2,-1,1
"907","Tel Aviv","male","18-24",2,2,2,2,2,2,NA,1,2,-1,1
"908","Jerusalem","female","55-64",1,1,1,1,2,1,NA,1,1,-2,1
"909","Haifa","male","45-54",2,0,2,1,1,-1,NA,1,-1,1,1
"910","North","female","25-34",-2,-2,-1,1,2,-1,NA,-2,-2,1,-1
"911","Jerusalem","female","18-24",2,2,2,2,2,2,NA,1,2,2,2
"912","North","female","45-54",1,1,-1,1,1,1,NA,1,-1,1,-1
"913","Center","female","45-54",0,1,-2,-2,NA,-2,NA,-2,1,1,1
"914","Haifa","male","18-24",2,2,2,2,1,2,NA,1,2,-1,2
"915","North","male","18-24",-2,-2,NA,-1,-2,-2,NA,-2,-2,-2,-2
"916","North","male","25-34",2,1,1,1,1,1,NA,-1,1,-1,-1
"917","North","female","25-34",0,1,1,-1,2,1,NA,NA,-1,2,-1
"918","North","male","25-34",0,NA,-2,-2,-2,-2,NA,2,NA,2,-2
"919","Jerusalem","female","35-44",0,0,1,-1,1,-1,NA,NA,-1,NA,NA
"920","North","male","18-24",1,2,-1,2,-1,2,NA,2,-1,2,2
"921","North","male","35-44",0,1,-1,NA,1,-1,NA,-1,-2,1,-1
"922","North","male","25-34",1,0,NA,-2,-2,2,NA,NA,-2,2,NA
"923","North","female","25-34",0,0,1,NA,1,2,NA,NA,-1,-1,1
"924","North","female","35-44",-1,1,1,1,1,1,NA,-2,2,2,1
"925","North","male","25-34",2,1,2,1,2,1,NA,-1,1,1,NA
"926","Haifa","female","35-44",0,0,1,1,1,-1,NA,NA,-1,1,-1
"927","North","male","45-54",-1,0,-1,-1,-2,-2,NA,NA,NA,NA,-2
"928","Center","female","18-24",2,2,-1,2,2,2,NA,2,-1,1,1
"929","North","male","25-34",-2,-2,-2,2,-2,1,NA,-2,-2,1,-2
"930","North","female","25-34",0,0,1,1,1,1,NA,-1,-2,2,2
"931","North","male","25-34",1,1,-1,2,1,-1,NA,2,-1,1,1
"932","Jerusalem","male","45-54",-1,-1,-2,-2,-2,-2,NA,NA,1,NA,NA
"933","North","female","25-34",-2,2,-2,-2,-2,-2,NA,NA,2,-2,-2
"934","North","female","35-44",0,1,-1,1,1,-2,NA,-1,-1,-1,NA
"935","North","male","35-44",0,0,1,2,1,2,NA,1,2,-1,1
"936","Haifa","female","35-44",0,0,1,-2,2,-1,NA,NA,-1,NA,NA
"937","North","male","35-44",-2,-1,NA,-2,-2,-2,NA,2,-1,-1,-1
"938","North","male","18-24",1,1,1,2,1,-1,NA,-1,1,1,1
"939","North","male","45-54",1,-1,-1,1,1,-2,NA,1,1,1,1
"940","North","male","35-44",1,0,1,1,-2,1,NA,1,1,-1,1
"941","South","female","18-24",1,0,-1,1,1,-1,NA,-2,-1,NA,NA
"942","North","female","35-44",-2,-2,NA,-2,-2,-2,NA,-2,-2,-2,-1
"943","North","male","35-44",1,2,1,1,1,1,NA,-1,-1,1,-1
"944","North","female","25-34",1,2,1,1,1,-1,NA,-1,1,1,2
"945","Jerusalem","female","25-34",0,-2,-2,-2,-1,-1,NA,NA,-2,-2,-2
"946","Haifa","male","18-24",2,1,1,1,1,1,NA,1,1,-1,1
"947","North","male","65+",1,1,1,-1,-1,-1,NA,1,-1,1,-1
"948","Haifa","male","25-34",0,-1,NA,-2,-2,-2,NA,-2,-2,-1,-1
"949","Jerusalem","female","35-44",0,1,1,1,1,NA,NA,-1,-1,NA,-2
"950","Center","male","35-44",1,-1,2,1,-1,1,NA,2,-1,2,-1
"951","Jerusalem","male","25-34",0,1,-1,-1,1,-1,NA,NA,-1,-2,-1
"952","Haifa","male","35-44",2,1,-1,1,-1,1,NA,-1,-1,-1,-2
"953","South","male","18-24",1,1,1,1,1,-2,NA,2,NA,1,1
"954","North","male","18-24",2,2,2,2,2,2,NA,-2,-1,-1,-1
"955","Jerusalem","male","65+",0,0,-1,-1,-1,-1,NA,-1,-1,-1,-1
"956","Jerusalem","female","65+",0,1,NA,-2,1,NA,NA,-1,-1,-1,-1
"957","South","female","25-34",-2,-1,-1,1,2,-2,NA,1,2,1,-1
"958","South","female","25-34",1,-2,-1,1,2,-2,NA,1,2,1,-1
"959","South","female","18-24",1,2,-1,1,2,-2,NA,-1,1,2,1
"960","Center","female","25-34",1,-1,-2,-1,1,-1,NA,-1,-2,-1,1
"961","North","female","55-64",-1,2,-1,-1,-2,-2,NA,NA,1,2,-2
"962","Center","male","25-34",1,0,2,1,-1,2,NA,-1,1,-1,1
"963","Jerusalem","male","25-34",1,-1,-1,-1,-2,-2,NA,2,NA,2,2
"964","Center","male","35-44",1,1,1,2,1,1,NA,-1,2,1,1
"965","North","female","25-34",1,0,1,1,1,-1,NA,-1,1,-2,-2
"966","North","male","45-54",0,0,2,1,1,2,NA,-1,1,2,1
"967","Center","female","18-24",2,1,2,-2,2,2,NA,1,2,2,2
"968","North","male","45-54",2,1,-1,-2,1,1,NA,-1,NA,-2,-2
"969","North","male","45-54",1,0,-1,-1,2,-1,NA,-1,1,1,2
"970","Haifa","male","45-54",1,1,1,1,-1,-1,NA,1,-2,-1,-2
"971","North","male","45-54",1,1,1,1,1,1,NA,1,2,-2,-1
"972","Jerusalem","female","25-34",2,1,-1,2,1,2,NA,2,1,-1,2
"973","Haifa","male","18-24",0,-1,-2,-1,-2,-1,NA,-2,-1,1,-1
"974","North","male","65+",0,2,1,-1,1,-1,NA,-1,-1,-1,1
"975","Jerusalem","female","25-34",0,0,-1,-1,-1,-1,NA,-1,-1,-1,-1
"976","South","female","25-34",1,0,-2,-1,1,-1,NA,-1,1,2,1
"977","North","male","18-24",1,1,1,-1,2,-2,NA,-2,-2,-2,-2
"978","North","male","55-64",2,2,2,1,1,1,NA,-2,NA,-2,NA
"979","Haifa","male","35-44",1,0,-1,-1,-2,-1,NA,NA,1,1,-2
"980","Center","male","18-24",2,1,2,2,1,1,NA,2,-2,2,1
"981","North","female","45-54",-1,1,2,1,1,1,NA,1,1,1,-1
"982","North","male","55-64",1,0,1,2,1,-1,NA,-1,-2,2,-2
"983","North","female","65+",0,1,1,-1,1,2,NA,-1,-1,1,-1
"984","North","male","45-54",1,1,1,1,1,1,NA,-2,-2,-1,1
"985","North","female","18-24",0,1,1,1,1,-2,NA,NA,-2,2,2
"986","North","female","45-54",1,-1,-1,1,-1,-1,NA,-2,-1,1,-1
"987","Center","male","18-24",2,2,1,1,2,-2,NA,1,-1,1,-1
"988","Haifa","female","35-44",0,0,-1,-1,-1,-1,NA,-2,-2,-2,-2
"989","Jerusalem","female","25-34",-2,-1,-1,1,2,-2,NA,1,2,1,-1
"990","Center","male","45-54",0,1,-2,1,-1,-2,"1",2,-2,2,-2
"991","South","male","35-44",-1,0,-1,-1,1,1,"2",2,-2,-2,2
"992","North","female","18-24",0,0,-1,1,2,1,"1",-1,-1,-2,1
"993","Jerusalem","male","35-44",1,1,-2,2,-2,-1,"2",-2,-1,-2,1
"994","North","female","35-44",1,1,-1,1,2,-1,"1",-1,-1,1,-1
"995","Haifa","male","45-54",1,2,NA,-1,NA,2,"1",-2,1,2,-2
"996","Center","female","35-44",1,1,-1,1,1,1,"1",-1,1,-1,NA
"997","Tel Aviv","male","25-34",-1,0,1,1,2,1,"1",1,NA,NA,NA
"998","Haifa","female","45-54",0,1,-1,2,2,2,"2",NA,NA,NA,NA
"999","Tel Aviv","female","45-54",0,1,1,1,2,2,"0",1,-1,1,1
"1000","North","female","55-64",1,1,1,1,2,2,"NA",NA,NA,NA,NA
"1001","Haifa","female","65+",2,2,1,1,2,2,"0",1,1,-1,NA
"1002","Haifa","male","25-34",NA,0,1,-2,NA,-1,NA,NA,1,1,-2
"1003","Haifa","male","35-44",0,0,-1,-1,-1,-1,NA,1,-1,1,-1
"1004","North","female","65+",0,0,-1,-1,-1,-1,NA,-1,-1,-1,-1
"1005","Center","female","35-44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1006","Jerusalem","female","35-44",0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1007","Jerusalem","female","35-44",0,0,-1,-1,-1,-1,NA,-2,-1,-1,-1
"1008","Center","female","35-44",-2,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA
