"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q27_1","Q27_2"
"338","Center","male","35-44",2,2,0,-1,1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,0,-1,0,-1,-1,0,-1,0,-1,-1
"339","Center","male","35-44",0,1,-2,1,1,1,-2,-1,0,-2,1,-2,1,-2,1,1,1,0,-2,-1,0,-2,1,0,-2,1,1
"340","Jerusalem","male","35-44",0,1,-1,1,1,-1,-1,-1,-1,-1,-1,-2,-1,-2,0,0,0,0,-1,-1,-2,1,0,0,0,-1,-1
"341","Center","female","35-44",0,1,-2,0,1,1,-1,-1,-1,NA,NA,-2,-1,-2,-1,NA,1,-1,-1,NA,-2,-1,NA,NA,NA,0,1
"342","Center","male","35-44",1,1,-1,-2,0,-2,-2,0,1,1,1,1,1,-1,1,1,1,1,-2,1,-2,-2,1,1,-1,1,0
"343","South","female","35-44",0,1,-2,-2,-1,0,-1,NA,0,NA,1,-1,1,NA,1,1,1,1,-2,0,NA,-1,-1,-1,1,0,1
"344","Center","male","35-44",NA,1,-1,1,1,0,-1,0,0,-1,1,1,1,-1,1,1,1,0,NA,-1,-2,-1,-2,1,0,1,1
"345","South","female","35-44",0,1,-1,0,1,0,-2,1,NA,-1,0,-1,0,-2,0,0,0,0,-2,0,-2,-2,-1,0,NA,-1,-1
"346","North","female","35-44",-1,1,-1,0,1,-1,-1,0,0,-1,NA,-1,0,-2,0,1,0,0,-1,-1,0,-2,0,1,1,-1,-1
"347","North","female","35-44",0,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,-2,0,0,0,0
"348","South","female","35-44",-2,0,-2,0,-2,1,-1,-2,0,0,0,1,0,0,1,1,1,1,-2,-2,-1,1,-2,0,1,0,1
"349","North","female","35-44",1,2,0,1,1,0,-1,0,-1,-2,0,-2,-1,-2,-1,1,-1,-1,0,0,-2,-2,1,-1,0,0,0
"350","North","male","35-44",1,1,0,1,1,0,-1,0,0,-1,0,-2,0,-2,0,1,0,-2,-2,-1,-2,-1,-2,-1,-2,0,-1
"351","South","male","35-44",-1,1,-2,-1,-1,0,-1,-2,-1,-2,1,0,0,0,0,1,0,0,-2,-2,-2,0,-2,1,0,0,-1
"352","North","female","35-44",NA,NA,-1,-1,-2,1,-2,-1,-1,-1,-1,-2,0,NA,0,NA,1,0,0,0,-2,1,-2,1,-1,-1,-1
"353","North","male","35-44",0,2,-2,1,1,1,-1,0,1,-1,-2,-2,1,-2,0,0,0,1,-2,-2,-2,-2,1,0,-1,-1,0
"354","Center","female","35-44",-1,1,-2,0,-2,-1,-2,-2,0,-1,0,NA,1,-1,0,1,1,1,-2,-2,0,NA,0,1,-1,1,1
"355","Tel Aviv","male","35-44",1,1,0,0,NA,-1,-1,NA,1,0,1,0,1,-1,0,0,-1,-1,-2,-2,-2,-2,-2,1,-1,1,0
"356","Tel Aviv","male","35-44",2,2,-1,1,1,-1,-1,-2,1,-2,-1,-2,-1,-1,-1,0,-1,-1,0,-2,-2,-2,-1,1,1,-1,-1
"357","Center","female","35-44",1,1,-1,1,1,1,1,0,-2,-2,1,0,1,-2,0,1,1,-1,0,-2,0,0,-2,1,1,0,0
"358","South","male","35-44",-2,-2,-2,0,-1,-1,-2,1,1,-1,1,-1,1,-2,0,1,1,0,-1,-2,NA,-2,1,1,1,0,1
"359","Judea and Samaria","female","35-44",1,1,-1,-1,0,-1,-2,1,-1,-1,0,-2,0,-2,0,0,-1,-1,0,1,-2,-2,1,-2,1,-1,0
"360","Tel Aviv","male","35-44",0,0,-1,1,1,0,0,0,0,-2,-1,0,-1,-1,0,1,0,-1,-1,-2,-2,-1,-1,0,-1,-1,-2
"361","Center","female","35-44",0,2,-1,0,0,-1,-1,-1,NA,-2,0,-1,0,-1,0,1,0,0,-1,-1,-1,-1,-1,0,1,-1,-1
"362","South","male","35-44",2,1,0,1,1,1,0,1,0,-2,-1,-2,-1,-2,-1,-1,0,-1,0,1,1,-2,-1,-1,-1,0,-1
"363","Haifa","female","35-44",1,2,-1,1,-1,0,-1,-2,0,-1,0,-1,0,-1,0,1,0,-1,-1,-2,-2,1,-2,1,0,NA,1
"364","South","female","35-44",1,1,-1,0,0,-1,-1,0,-1,-2,-2,-2,0,-2,-1,NA,0,0,-2,0,-2,-1,0,-1,-2,-1,-1
"365","North","female","35-44",1,2,-1,-1,1,-1,-1,1,-1,-1,-1,-2,-1,-2,0,0,-1,0,-1,1,-1,-2,1,-1,0,-1,0
"366","Haifa","female","35-44",1,2,0,1,1,0,-1,1,0,0,0,1,0,-2,0,0,NA,NA,-1,1,-1,-2,1,-1,-1,NA,NA
"367","Center","female","35-44",1,1,-1,1,1,0,1,-1,1,-2,-1,-1,0,-2,-2,-1,1,-1,-2,-2,-2,-2,1,1,-2,NA,1
"368","Center","male","35-44",-1,1,-2,-2,-1,-1,-1,-2,1,0,0,0,1,0,0,1,1,1,-2,-2,-1,-1,-2,-1,0,0,-1
"369","Center","female","35-44",1,1,-2,-1,1,-1,NA,NA,-1,0,-1,-2,0,-2,0,NA,-1,NA,0,-1,0,0,-1,0,1,-1,0
"370","Center","female","35-44",1,1,-1,1,1,0,-1,0,-1,-2,0,-2,0,-2,0,0,-2,0,0,0,-1,-2,1,0,-1,0,0
"371","Tel Aviv","male","35-44",2,2,0,1,1,-1,1,0,0,-1,-1,-2,-1,-1,0,1,0,0,0,1,0,0,-1,-2,-1,-1,-1
"372","Center","female","35-44",0,0,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,1,NA,0
"373","Jerusalem","female","45-54",2,2,-1,1,1,1,-1,1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,1,0,1,-2,-2
"374","South","female","45-54",-1,1,-1,0,0,-2,-1,0,1,0,0,0,1,0,0,-1,0,0,-2,1,0,0,-1,1,-2,0,1
"375","Jerusalem","female","45-54",0,1,-2,0,0,-1,-1,0,0,0,-1,1,0,0,0,-1,-1,1,-1,0,0,-1,0,1,1,-1,-1
"376","Haifa","female","45-54",0,0,-1,0,1,1,-2,1,1,1,1,0,1,-1,1,1,1,1,-2,1,-1,-2,1,-1,1,1,1
"377","Center","female","45-54",-2,1,-2,-1,1,-1,-2,1,1,1,0,1,1,1,1,0,0,1,-2,0,1,-2,1,1,1,0,0
"378","Center","male","45-54",1,2,0,1,1,1,0,0,0,-2,-1,-1,-2,-2,0,1,-1,-1,-1,0,-2,-2,1,-1,-1,-1,1
"379","Judea and Samaria","female","45-54",-1,1,-1,1,1,0,-1,0,0,-1,-1,-1,0,-2,0,0,-1,NA,-1,1,-2,-1,-2,-1,-1,-1,-1
"380","Center","male","45-54",0,1,-1,1,1,-1,-1,0,0,-1,-1,-2,0,-2,0,0,1,1,-1,-1,-2,-2,1,0,0,-1,0
"381","Judea and Samaria","female","45-54",2,1,-1,-1,1,0,-1,1,1,0,-1,0,-2,-1,0,-1,-1,1,-1,-1,-1,-2,-1,-2,0,0,-1
"382","Tel Aviv","female","45-54",1,1,-1,0,1,0,-1,-1,0,-1,-1,-1,0,-1,0,0,0,0,-1,1,-2,-2,1,0,-1,-1,-1
"383","Jerusalem","female","45-54",1,2,-2,0,1,1,-2,-1,-1,NA,-1,NA,0,-2,0,0,0,1,-2,0,-1,-2,1,-1,1,-1,-1
"384","Center","male","45-54",-2,0,-2,1,1,-1,-2,1,1,1,-1,1,1,-2,1,NA,1,1,-2,1,0,-2,1,0,1,-1,-2
"385","South","female","45-54",0,1,-2,0,1,-1,NA,1,0,0,1,1,0,-2,0,-1,0,0,-2,NA,0,-1,1,1,1,NA,1
"386","Center","male","45-54",1,1,0,0,1,0,-1,0,0,0,0,0,-1,-2,-1,-1,1,0,0,1,0,-2,0,-2,1,-1,-1
"387","Center","female","45-54",-1,1,-1,NA,1,-2,-2,1,NA,-1,-1,-1,NA,-2,-2,NA,0,NA,NA,NA,NA,-2,1,NA,NA,NA,NA
"388","Center","female","45-54",1,1,-1,0,0,-1,-1,0,-1,-1,0,-1,0,-1,0,1,0,0,-1,-1,-2,-2,0,-1,0,0,-1
"389","Center","male","45-54",-2,-1,-2,-2,1,-2,-2,1,1,0,1,-1,1,0,1,0,0,1,1,-2,-1,-2,1,NA,1,1,1
"390","Center","male","45-54",0,1,-1,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,-1,-1,-1,-1,-1,0,-1,0
"391","South","male","45-54",0,1,0,0,1,-1,-1,1,1,-2,-2,-2,-1,-2,-1,-2,0,0,1,-1,-1,1,1,-2,1,-2,-1
"392","Judea and Samaria","female","45-54",-2,0,-2,-2,-2,0,-2,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,-1,-1,1,0,1,1
"393","Tel Aviv","female","45-54",0,NA,-1,1,1,1,-1,NA,0,NA,0,-2,NA,-2,NA,NA,0,0,NA,NA,-2,-2,1,NA,NA,NA,-1
"394","Center","female","45-54",0,1,1,1,1,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-1,0,1,-2,0,0,-2,-1,-2,-2
"395","Jerusalem","female","45-54",0,0,-2,1,-1,0,-1,0,0,-2,-1,-2,0,-1,0,0,1,0,1,-1,-1,0,-1,1,1,-2,-1
"396","South","female","45-54",1,1,-1,0,1,1,-2,-2,-1,-2,0,-2,-2,-2,-1,-1,-1,-2,-2,1,-2,-2,1,0,-1,-1,1
"397","North","female","45-54",1,1,0,0,1,0,0,1,0,-1,-1,-1,-1,-2,-1,NA,0,-1,-1,0,-2,-2,-1,-2,-2,-1,NA
"398","South","male","45-54",1,1,0,1,1,1,0,1,1,-2,-1,-2,-1,-2,-1,0,0,0,0,0,-2,-2,-2,-1,-1,-1,-1
"399","South","female","45-54",1,1,-2,1,1,-1,-1,1,0,-2,1,-1,0,-2,-1,NA,-1,1,1,0,0,-2,1,-1,1,0,1
"400","Center","male","45-54",2,0,-2,-2,1,-2,-2,1,-2,-2,0,-2,1,-2,1,1,1,0,-2,1,-2,-2,1,-2,1,1,-1
"401","North","female","45-54",0,0,-1,0,1,-1,-1,1,1,-1,-1,-1,0,-1,0,-1,1,1,-2,-1,-2,-2,-1,-2,0,0,-1
"402","Center","female","45-54",0,1,-1,-1,1,0,-2,-2,-1,-1,0,0,0,-2,0,0,1,1,1,1,-2,-2,-2,-1,1,-1,0
"403","Haifa","female","45-54",-1,0,-2,0,-1,1,-1,-1,-1,-2,0,-2,0,-2,0,0,0,-1,-2,0,-2,-2,0,-2,1,-1,-1
"404","Center","female","45-54",-1,1,NA,-2,-1,-2,-2,0,1,1,1,1,1,1,1,1,1,1,0,0,-2,-1,-1,0,-1,1,1
"405","South","female","45-54",0,-1,-1,0,1,-1,-1,0,1,-2,-1,-2,1,-2,1,1,1,1,-2,1,0,-2,1,-1,1,0,-1
"406","Center","male","45-54",0,1,0,1,1,-1,-1,-2,0,-2,-1,-1,-1,-2,0,1,1,0,1,0,0,0,0,-1,0,-2,-2
"407","Jerusalem","female","45-54",1,1,-1,0,1,-1,-2,1,0,-1,-1,-2,0,-2,0,0,1,1,-2,1,0,-2,-1,1,1,-1,0
"408","Jerusalem","male","45-54",0,0,NA,1,0,-1,-2,0,0,0,0,0,0,-2,0,-1,0,1,-1,-1,-1,-2,1,1,1,1,1
"409","Jerusalem","male","45-54",2,1,-2,1,1,-1,-2,-1,-2,-2,-2,-2,0,-2,0,1,0,-2,-2,-1,-2,-2,1,-2,1,-1,1
"410","Center","female","45-54",2,2,0,0,1,-1,0,0,-1,0,-1,-2,-1,-2,-1,NA,-2,-1,-1,-2,-1,-2,1,-1,-2,-1,-1
"411","Tel Aviv","male","45-54",2,1,0,1,1,0,-1,1,1,-1,-1,-2,-1,-2,-1,-1,0,-1,-1,1,-1,-2,0,-2,-1,0,-1
"412","Center","male","45-54",1,NA,NA,1,1,0,-1,-1,NA,-1,-1,-1,-1,-2,0,-1,-1,0,0,-2,-2,-1,0,-1,0,-1,-1
"413","South","male","45-54",1,0,-2,1,1,0,-2,-1,1,0,-1,-1,1,-2,1,-1,1,-1,-1,NA,NA,-2,1,1,-2,-1,0
"414","South","male","45-54",1,2,-1,1,1,0,-1,1,0,-1,0,-1,-1,-2,-2,-2,0,-1,0,1,-2,-2,1,-1,-1,-1,-1
"415","Haifa","male","45-54",1,1,-1,1,0,-1,-1,0,0,-2,1,-1,0,-1,1,0,0,0,-2,-1,-2,-2,-1,0,0,-1,0
"416","Judea and Samaria","male","45-54",1,1,-1,1,1,0,-1,-1,0,-1,-1,-1,1,-2,0,0,1,0,-2,0,-2,-2,1,1,-1,0,1
"417","Haifa","female","45-54",-1,0,-2,NA,-1,0,-2,0,0,1,0,NA,1,-2,0,1,1,1,0,NA,0,-2,1,-1,0,-1,NA
"418","Haifa","male","45-54",-1,0,-2,1,0,1,-1,0,1,1,1,1,1,-1,1,-1,1,1,-1,-2,1,-2,-2,0,0,1,1
"419","South","male","45-54",-1,0,0,0,1,0,-1,0,-1,-2,-1,-1,0,-2,0,-1,0,1,0,1,0,-2,0,-2,1,-1,0
"420","Center","male","45-54",1,0,0,-2,-1,-2,0,0,1,-1,-1,-2,0,-2,0,NA,0,-1,-2,0,-1,-1,0,-1,-1,1,1
"421","Jerusalem","male","45-54",1,1,-1,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,0,-1,-1,-1,1,-1,-1,1,-2,1,-1,-1
"422","Jerusalem","female","45-54",-1,1,-2,1,0,0,-1,-2,-2,0,0,-2,1,0,1,1,0,0,-2,-1,-1,-2,1,-2,-2,1,1
"423","South","female","45-54",0,1,NA,0,1,-1,NA,1,0,NA,-1,-2,-1,-2,-1,NA,NA,NA,NA,NA,NA,-2,0,-1,1,NA,-1
"424","Center","female","45-54",0,2,-1,0,1,1,-2,-1,0,-2,1,-2,0,-2,-1,1,0,-1,-2,0,1,1,0,0,1,1,1
"425","Center","female","45-54",-1,-1,-1,1,1,1,-2,1,1,1,0,0,0,-2,0,1,1,0,-1,0,-1,-2,1,0,0,-1,-1
"426","Tel Aviv","male","45-54",2,2,1,1,0,0,0,1,0,0,0,-1,-1,-2,0,0,0,0,-1,-1,-2,-2,-1,-1,0,0,0
"427","Tel Aviv","male","45-54",1,0,0,1,1,0,-1,0,1,-1,0,0,0,-2,-1,-1,1,1,-1,-2,-2,-2,-1,-1,1,0,1
"428","South","male","45-54",2,0,1,1,1,0,-1,0,-1,-2,-1,-2,-1,-2,-1,-1,0,-1,-1,0,0,-2,1,-2,-2,-1,-1
"429","Tel Aviv","female","45-54",1,1,0,0,1,0,NA,1,0,-2,-2,-2,1,-2,1,-1,0,1,-2,1,-1,-2,1,1,1,-1,1
"430","Haifa","female","45-54",1,0,NA,0,1,1,1,0,0,-2,-1,-2,-1,-1,0,1,0,1,0,1,-2,-2,-2,-2,-1,-1,NA
"431","Jerusalem","female","45-54",NA,1,-1,1,1,-2,NA,-1,1,0,-2,-2,NA,-2,NA,0,1,1,-2,1,-2,-2,1,1,1,-2,1
"432","Center","female","45-54",1,1,-1,0,1,0,-2,1,-1,-2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-2,-1,-2,-1,-1,-1,-1
"433","North","female","45-54",2,2,0,1,1,-1,-2,1,0,-1,0,-2,-1,-2,0,1,1,-1,1,1,0,-1,1,-1,1,-1,-1
"434","Haifa","female","45-54",1,1,0,0,1,-1,NA,0,-1,-2,0,1,0,-2,1,NA,NA,NA,-1,-2,0,0,-1,-2,NA,NA,-2
"435","Haifa","female","45-54",0,0,-2,1,1,1,0,1,0,0,0,0,1,-2,1,1,1,1,-2,-1,-1,-2,1,1,1,0,1
"436","Jerusalem","male","45-54",-1,-1,0,NA,1,-1,NA,-2,0,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,1,-2,-2,0,0,-2,-2,-2
"437","Center","female","45-54",-2,0,-1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,1,-2,-1,-1,NA,0,-1,0,-1,0
"438","Tel Aviv","female","45-54",1,2,0,0,1,1,-2,1,-1,0,0,-1,-1,-2,-1,-1,1,1,0,-2,1,-2,1,0,-2,NA,NA
"439","Center","female","45-54",0,1,0,1,1,-1,-2,1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,0,-2,-2,-2
"440","Center","male","45-54",NA,-1,-2,0,-2,0,-2,-1,-1,-1,1,-2,1,-2,1,1,1,NA,1,-2,-2,-1,1,1,1,0,0
"441","Haifa","female","45-54",0,2,-1,1,1,-1,1,-1,0,1,1,-2,1,-2,1,1,1,1,-2,-1,-2,-1,0,NA,0,0,1
"442","Tel Aviv","male","45-54",1,1,0,0,1,0,0,1,0,0,0,-2,-1,-2,-1,-2,-1,-2,1,-2,-2,-2,1,-2,-1,-1,-2
"443","Center","male","45-54",-2,2,-2,0,0,1,-2,1,1,1,1,-1,1,-2,1,-1,1,1,-2,-2,1,-1,1,1,0,1,1
"444","Center","female","45-54",-2,2,-1,1,1,1,-2,-1,0,-2,0,-2,0,-2,0,0,0,0,-2,-1,-1,-1,0,-1,0,-1,-1
"445","Center","female","45-54",0,1,-1,0,1,0,0,1,0,-2,-2,-2,-1,-2,-1,-1,1,0,-2,-1,1,-2,-1,-2,1,-2,-1
"446","Jerusalem","male","45-54",0,NA,-1,1,1,0,-1,1,0,-2,-2,NA,0,-2,0,NA,1,NA,-1,1,-1,-1,1,0,0,-2,-2
"447","Jerusalem","female","45-54",1,1,0,1,1,0,-1,0,0,-2,-1,-1,-1,-1,-1,-1,0,0,0,-1,-2,-2,-2,-1,-1,0,0
"448","Center","male","45-54",1,0,-1,0,0,0,-1,-1,-1,-2,-2,-2,-1,-2,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-2,-2
"449","Tel Aviv","female","45-54",1,2,NA,1,1,1,-1,-2,0,-2,-1,-2,0,-2,0,1,-1,-1,-2,-2,-2,1,-2,0,-1,-1,0
"450","Jerusalem","female","45-54",0,1,-1,1,0,-1,-1,1,0,-1,-1,NA,0,-2,0,0,0,0,-1,NA,0,-1,0,1,1,-1,NA
"451","North","female","45-54",0,1,-1,0,1,-1,-1,-1,0,-1,0,-2,0,-1,0,1,1,0,-2,0,-2,-1,0,-1,1,-1,0
"452","North","female","45-54",1,1,-2,0,0,-1,0,1,0,-1,1,-1,0,0,1,1,0,0,-2,-1,0,-2,1,-2,1,1,0
"453","Tel Aviv","male","45-54",0,1,-1,0,-1,-1,-2,0,-1,-1,0,NA,0,-1,0,NA,0,0,0,-2,-2,NA,-1,-1,1,NA,NA
"454","Center","male","45-54",1,1,-1,0,0,0,-1,-1,-1,-2,-1,-1,0,-2,-1,1,-1,0,-1,-1,-2,0,-2,-1,-1,-1,0
"455","Haifa","male","45-54",0,0,0,1,1,0,-1,-1,1,-2,-2,-2,1,-1,0,1,-2,-2,-2,-2,-1,1,-2,0,-2,NA,1
"456","Tel Aviv","female","45-54",2,1,0,0,1,-1,0,0,0,NA,-2,-1,-1,-2,-1,0,-1,-1,0,1,-1,-2,1,-1,-1,NA,-1
"457","Haifa","male","45-54",1,2,0,1,1,1,-1,0,0,-1,-1,-1,0,-1,-1,0,0,0,-1,0,-2,-1,0,-1,0,-1,-1
"458","Tel Aviv","male","45-54",1,-1,-2,1,1,1,-2,-1,-1,-1,0,-1,0,0,1,0,0,1,-2,1,-2,0,-1,-1,-1,-1,-2
"459","Judea and Samaria","male","45-54",0,-1,-1,1,1,0,-2,1,NA,-2,-1,NA,0,-2,0,NA,-1,0,1,0,-1,-2,-2,-1,-1,0,0
"460","Tel Aviv","male","45-54",1,1,-1,1,1,0,-1,0,-1,-1,-2,-2,0,-2,0,1,1,1,-1,-1,-2,1,-2,1,0,-2,0
"461","Center","female","45-54",0,0,-1,-2,0,1,-1,-1,-1,-2,0,-2,1,-2,1,1,1,0,-2,-2,1,-1,-1,1,1,1,1
"462","North","female","45-54",0,1,-1,0,1,-1,-1,-1,0,-1,0,-2,0,-2,0,0,0,0,-2,-1,-2,-1,-1,-1,1,-1,-1
"463","Judea and Samaria","female","45-54",-1,0,-2,0,0,0,-1,0,0,-2,0,-1,0,-1,0,1,0,0,-2,-1,-2,0,0,-1,-2,0,0
"464","Jerusalem","female","45-54",0,1,-1,0,0,-1,-1,-1,0,-1,0,-2,0,-2,0,1,0,0,-2,1,-2,-1,-2,NA,0,-1,1
"465","Haifa","female","45-54",NA,NA,-2,0,0,0,0,1,-2,0,-2,-2,1,-2,1,1,1,1,-2,1,-2,-2,1,0,1,-2,1
"466","Center","female","45-54",1,2,0,0,1,-1,-1,0,0,-1,-1,-2,-1,-2,-1,NA,NA,-1,0,1,NA,0,1,-2,0,-1,-1
"467","Center","female","45-54",1,1,-2,NA,1,0,-1,-2,0,0,0,NA,0,-2,0,NA,NA,NA,1,1,-1,-2,1,0,-2,-1,-1
"468","Haifa","male","45-54",1,1,-1,0,1,0,-1,-1,-1,-1,-1,-2,-1,-2,0,0,0,-1,-1,-2,-1,-1,0,-1,-1,-1,-1
"469","Tel Aviv","female","45-54",-2,1,-2,-2,-2,-2,-2,1,1,1,0,-2,1,-1,1,1,1,1,-2,-2,-2,-2,1,1,1,1,0
"470","Haifa","female","45-54",1,0,NA,1,NA,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,0,NA,0,NA,1,-2,NA,-1,-2,-1,-1
"471","Haifa","male","45-54",1,1,0,1,-1,0,-2,-2,-1,-1,-1,-1,0,-1,0,NA,0,-1,-1,-2,-2,-2,0,-1,-2,-1,0
"472","Center","female","45-54",0,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,0,-2,0,1,0,0,-1,-2,-2,1,NA,-2,-2,-1,0
"473","Center","female","45-54",0,1,0,0,1,-1,-1,-1,0,-2,-1,-2,-1,-1,-1,NA,0,0,-1,-1,-1,-1,0,1,0,-1,-1
"474","North","female","45-54",-2,-1,-2,0,-2,0,0,1,1,1,1,1,1,1,1,1,1,1,-2,1,0,-2,1,0,1,1,1
"475","Haifa","male","45-54",1,1,0,1,1,1,-2,1,-1,-2,-1,-2,0,-2,0,0,1,0,-2,-2,-2,-2,0,1,0,-1,0
"476","Tel Aviv","male","45-54",-1,-1,-2,0,1,-1,-1,1,-1,-2,0,-2,1,-2,0,1,1,0,-2,-2,-1,-1,0,-1,1,1,1
"477","Tel Aviv","female","45-54",-1,1,0,1,1,0,-2,-2,1,-1,0,-2,1,-2,0,1,1,NA,-2,1,NA,-2,1,NA,0,1,-1
"478","Tel Aviv","female","45-54",-1,-1,-2,1,1,0,-1,-1,0,0,-1,-2,0,-1,1,1,-1,1,-1,-2,-2,NA,1,1,-1,-1,-1
"479","Tel Aviv","male","45-54",1,0,0,1,1,1,-1,1,0,-2,-1,-2,-1,-2,-2,-2,0,-1,-2,1,-2,-2,-1,-2,1,1,0
"480","Haifa","male","45-54",1,1,-1,0,0,0,-2,-1,-1,-1,0,-2,-1,-1,0,1,-1,-2,-1,-1,0,-1,0,1,-2,-1,-2
"481","Haifa","female","45-54",0,1,NA,1,1,NA,-2,1,0,NA,0,-2,0,-2,1,NA,NA,NA,-2,1,-1,-1,0,1,NA,-2,0
"482","Haifa","female","45-54",-2,0,-1,1,0,0,-2,1,1,1,1,1,1,-1,1,1,1,1,-2,0,-2,-2,1,-2,0,-2,-2
"483","Tel Aviv","male","45-54",0,1,-1,1,1,0,-1,1,0,-2,-1,-2,-1,-2,-1,1,0,-2,-1,1,0,-2,1,-1,-2,-1,-1
"484","Center","female","45-54",1,1,-2,1,1,-1,NA,-2,0,-2,-1,-2,0,-2,1,0,-1,-1,-2,-2,-2,1,-2,0,-2,0,0
"485","Tel Aviv","female","45-54",0,1,-2,1,0,0,-1,-2,0,-1,0,-1,1,-1,0,1,0,0,0,-1,-2,1,-2,-1,1,-1,-1
"486","North","female","45-54",1,1,0,0,1,0,-2,1,-1,-2,-1,-2,NA,-2,-2,0,0,-1,-1,1,-2,-2,1,-1,0,-1,-1
"487","Haifa","male","45-54",0,0,-1,-1,-1,1,-2,-1,-1,NA,NA,-1,NA,-1,0,NA,-1,NA,NA,-2,-2,NA,NA,-1,1,NA,1
"488","Tel Aviv","female","45-54",-2,1,-2,-2,-1,0,-1,-1,NA,-2,1,-2,1,-1,1,1,1,NA,-2,-2,-1,-1,-1,0,1,-2,NA
"489","Tel Aviv","male","45-54",1,1,0,-1,-1,-1,-1,-1,-1,-1,0,-2,0,-2,0,1,1,1,-1,-2,-2,1,NA,-1,1,0,0
"490","South","male","45-54",0,1,-1,1,1,1,-1,-2,-1,-2,0,-2,-1,-2,-1,NA,0,0,-2,-2,-2,1,-2,1,-2,0,0
"491","Haifa","female","45-54",0,NA,-2,1,1,0,-2,-1,-1,-2,-1,-2,NA,-2,-1,1,-1,NA,1,-2,0,-1,-1,NA,-2,-1,-2
"492","Tel Aviv","female","45-54",0,1,0,0,0,-1,-1,-1,-1,-2,-1,-2,-1,-1,-1,0,0,0,0,0,-2,-1,0,-1,0,-1,NA
"493","Tel Aviv","male","45-54",-1,-2,-2,NA,-1,-1,-2,1,1,0,-1,1,1,-1,1,1,1,1,-2,-2,1,-2,-2,1,1,NA,1
"494","Center","female","45-54",0,0,0,-2,1,-2,-2,0,0,0,0,-1,-1,-1,-1,NA,0,-1,0,NA,NA,NA,NA,NA,0,NA,0
"495","Haifa","male","45-54",1,0,-1,0,1,0,-1,-1,0,0,-1,-2,-1,-2,-1,0,0,NA,-2,-2,0,NA,-1,1,1,-1,0
"496","Tel Aviv","male","45-54",2,1,1,1,1,1,-1,1,1,-1,-1,-2,-1,-2,-1,0,1,0,0,1,-1,-2,-1,-1,-1,0,-2
"497","Haifa","female","45-54",1,2,0,1,1,-1,0,1,-2,-2,-1,-2,-1,-2,-1,0,-1,-1,-2,1,0,-2,-1,-1,1,0,-1
"498","Jerusalem","female","45-54",-1,0,-2,1,1,0,-2,-1,-1,-1,-1,1,0,-1,0,0,0,0,NA,-2,-1,1,-2,1,0,0,1
"499","Tel Aviv","male","45-54",0,1,-2,-1,1,0,-2,1,0,0,0,0,0,-1,1,1,0,0,-2,1,-2,-2,1,-2,-2,-1,-1
"500","North","male","45-54",1,1,0,1,1,0,-2,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0
"501","South","male","45-54",1,0,-1,0,1,0,-2,-1,0,-2,0,-2,1,-2,1,1,-1,1,-2,-2,-1,-2,0,0,1,-2,1
"502","Tel Aviv","male","45-54",2,1,0,0,1,0,0,1,0,-1,1,0,0,-2,-2,1,1,1,-2,NA,-1,-1,0,-1,-1,0,0
"503","Tel Aviv","female","45-54",1,1,0,1,1,1,1,NA,-1,-2,-2,NA,-1,-1,-1,NA,-1,-1,0,0,NA,0,-1,-1,-1,0,-1
"504","Tel Aviv","male","45-54",-1,0,-2,1,-2,-1,-1,0,1,0,1,1,1,-1,1,1,1,1,-2,-2,-2,-1,0,1,1,0,-1
"505","Tel Aviv","female","45-54",0,1,-1,0,1,1,1,-2,-1,-1,0,1,-1,-2,-1,1,-1,1,0,-2,0,NA,NA,1,1,-1,-1
"506","South","male","45-54",2,2,0,0,1,0,-2,-2,1,-2,-1,-2,-1,-1,-2,1,0,-1,-1,-2,1,-2,-2,-1,-2,-1,0
"507","South","female","45-54",-1,0,-1,1,1,1,-1,0,-1,-2,0,-2,0,-1,0,1,1,-1,-2,-2,-1,0,-2,-2,-1,-1,1
