"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q27_1","Q27_2"
"50","South","female","18-24",-2,-1,-1,0,1,1,-2,0,1,-1,1,-2,1,-2,1,1,1,1,-2,-2,-2,-2,1,-1,1,1,1
"51","Center","male","18-24",1,1,0,0,1,1,-1,-2,0,-2,0,-2,0,-2,0,0,-1,-1,-1,-1,-2,-1,0,-1,0,-1,-2
"52","South","male","18-24",0,2,-2,0,1,1,-2,1,1,-1,0,-2,1,-2,-1,1,1,-1,-2,1,0,-2,-2,1,0,1,-1
"53","Jerusalem","male","18-24",1,2,-1,0,1,0,-1,-1,1,-2,0,-2,1,-2,0,1,0,0,-1,-1,-1,-1,-1,0,0,1,0
"54","North","female","18-24",0,1,-2,0,1,-1,-1,1,0,NA,NA,NA,0,-2,0,1,NA,0,-2,1,-2,-2,-1,1,1,0,1
"55","Haifa","male","18-24",-2,1,-2,0,0,0,-1,-2,0,0,0,-1,-1,0,1,1,0,0,0,-1,-1,-1,0,0,1,0,0
"56","Center","female","18-24",0,1,-1,0,1,1,-2,-1,NA,0,0,-2,-1,-2,0,1,-1,-2,-1,-1,-2,-2,NA,-1,0,0,1
"57","Judea and Samaria","female","18-24",0,2,-1,-2,-1,-1,-1,0,0,-1,-2,-1,0,-2,0,1,-1,0,0,-1,-2,-2,0,0,1,0,0
"58","Center","female","18-24",1,2,0,0,1,0,-1,0,-1,-2,-1,-2,-1,-2,-1,0,0,0,0,0,-2,-2,-1,-1,-2,-1,-1
"59","Haifa","female","18-24",0,1,-1,0,0,-1,-1,0,0,-2,0,-2,0,-2,0,0,-2,0,0,-2,-2,0,0,-1,-2,-1,-1
"60","Haifa","female","18-24",1,1,-1,1,1,-1,0,-1,1,-2,1,-2,-2,-2,0,1,1,1,-1,-2,1,1,-2,-2,1,1,1
"61","Center","male","18-24",1,1,-1,0,1,0,-1,0,-1,-1,0,0,0,-1,0,1,0,0,0,-1,-2,0,-2,-1,0,0,0
"62","Tel Aviv","male","18-24",-2,1,-2,1,-2,0,-2,0,1,1,1,-2,0,-2,0,1,0,0,0,-1,-1,-1,0,0,1,-1,0
"63","Center","male","18-24",0,0,-1,1,1,0,-1,1,0,-1,-1,-2,-1,-2,-1,-1,-1,-1,-1,1,-2,-2,1,-2,-2,-1,-1
"64","North","male","18-24",0,1,-2,0,-1,1,-1,-2,0,-1,0,0,0,-1,0,0,0,0,-1,-2,-2,-1,-1,-1,-1,-1,0
"65","South","male","18-24",1,2,-1,0,0,0,0,0,0,-1,0,-1,-1,-2,0,1,1,1,-1,-1,-2,NA,NA,-2,-2,0,0
"66","Center","female","18-24",0,1,-1,-1,-1,0,-1,-2,1,0,0,1,1,0,1,1,1,1,-2,-2,-2,1,-2,0,1,1,0
"67","Jerusalem","male","18-24",0,2,-1,-1,1,-1,-2,1,-1,-2,-1,NA,-1,-2,-1,0,-2,1,-1,1,-2,-2,0,0,0,0,0
"68","Center","male","18-24",0,0,-1,-1,1,1,-1,1,0,0,1,-1,0,-1,-1,NA,-1,1,-2,0,-1,-2,1,-1,1,-2,NA
"69","North","female","18-24",-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,1,-1,0,-1,0,0,-1,-2,-2,1,1,0,0,0
"70","Haifa","male","18-24",1,2,-1,1,-1,0,-2,1,1,-1,-1,NA,-1,-2,-1,1,1,NA,-1,0,-1,-2,1,1,0,-1,1
"71","Haifa","female","18-24",0,1,-1,0,1,-1,0,0,-1,0,1,-2,-1,-2,0,0,0,-1,-1,1,-2,-1,0,-1,-1,-1,-1
"72","Center","female","18-24",0,1,0,1,1,0,-1,-1,0,-1,-1,-2,-1,-2,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
"73","North","male","18-24",1,1,-1,0,1,1,-1,-1,-2,-2,0,-2,-1,-1,0,0,-1,-1,-1,-1,-2,0,-1,-1,-1,-1,-2
"74","Haifa","male","18-24",-2,0,0,-2,-1,-1,-2,1,0,0,1,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,-1,1,1,0
"75","Center","male","18-24",0,2,-1,0,1,0,-1,-1,-1,-2,0,-1,0,0,0,1,NA,0,0,-2,-2,1,-2,1,-1,0,NA
"76","Tel Aviv","female","18-24",0,2,-2,0,1,-2,-1,1,-1,-1,0,-2,1,0,0,0,-1,1,-2,1,0,-2,1,-1,-1,0,-1
"77","North","female","18-24",0,1,-1,1,1,0,0,NA,-1,0,0,-2,0,-2,-1,1,1,0,0,1,-2,0,-1,1,1,0,1
"78","Center","male","18-24",0,1,-2,0,-1,0,-1,-1,-1,-1,1,-2,0,0,1,1,1,0,-1,-2,0,1,-2,-1,0,0,-1
"79","Tel Aviv","female","25-34",0,2,NA,-1,1,-1,NA,1,1,1,1,1,1,0,1,-1,NA,NA,-2,-2,-2,NA,1,-2,NA,NA,NA
"80","Haifa","male","25-34",1,2,-2,1,1,0,-2,0,1,1,-1,-2,1,-2,1,-2,0,1,-2,1,-2,-2,1,0,1,0,0
"81","Haifa","female","25-34",0,1,-1,0,0,0,-1,-1,1,0,-1,-1,0,-1,0,0,-1,0,-2,0,-1,-2,0,1,0,-1,-1
"82","Judea and Samaria","female","25-34",-2,2,-2,0,-2,0,-2,1,1,1,1,1,1,1,1,-1,0,1,-2,1,1,-2,1,-2,1,-1,1
"83","South","female","25-34",0,NA,-1,NA,1,0,1,0,1,0,0,0,0,-2,0,-2,-2,-2,0,0,-1,-1,0,-1,-2,-2,-2
"84","Jerusalem","female","25-34",1,1,-1,-2,1,-1,-2,1,NA,NA,0,-1,1,-2,1,-1,-1,NA,-1,0,1,-1,0,-1,0,0,-1
"85","Tel Aviv","male","25-34",-1,1,-2,-1,-1,1,-1,-2,1,1,0,0,0,0,1,-1,1,1,-2,-1,-2,-2,-2,0,0,0,-1
"86","Judea and Samaria","female","25-34",0,2,-2,-2,-2,1,-2,-2,1,1,0,NA,1,-2,1,-2,0,1,-2,1,-1,-2,1,0,1,0,0
"87","Jerusalem","female","25-34",-1,2,-2,0,-1,0,-2,1,1,1,0,NA,1,0,0,-1,-1,NA,-1,-2,1,-2,-1,-2,1,0,0
"88","Center","female","25-34",-2,-2,-1,-1,-1,-1,-2,1,1,1,-1,-1,-1,-2,-1,-2,-2,-1,-1,-1,NA,-1,0,0,1,0,-2
"89","North","female","25-34",-2,1,-2,-2,-1,-1,-2,1,1,1,1,0,1,1,1,0,0,1,-2,1,0,-2,1,1,0,1,-1
"90","Center","female","25-34",-1,0,-2,0,-1,-1,-1,1,1,1,0,1,1,-1,1,1,1,1,-2,0,-1,-2,1,1,1,0,1
"91","Center","female","25-34",1,1,NA,-1,-1,-2,-1,1,1,1,0,1,1,-1,1,1,1,1,0,-2,-1,-1,0,-1,-1,0,-1
"92","Jerusalem","male","25-34",0,2,-2,NA,-2,1,-2,1,0,1,-1,NA,1,0,1,-1,-2,1,-2,1,1,-2,1,1,1,-1,1
"93","Jerusalem","female","25-34",0,2,-2,0,1,-1,-2,0,1,1,-1,-1,1,-1,1,1,-1,1,-2,-2,-2,-2,1,1,1,1,-1
"94","South","male","25-34",2,2,-1,1,1,0,-2,-1,1,1,-1,1,1,-2,1,-2,0,0,-1,-2,-1,-2,1,1,-2,-1,1
"95","South","male","25-34",1,2,-2,0,1,1,-1,-2,1,1,0,0,-1,-1,1,-1,-2,1,0,1,1,-2,1,1,1,0,0
"96","Tel Aviv","male","25-34",2,2,-1,-1,-2,1,-1,1,0,1,-2,-2,-1,-1,0,-2,-2,0,-2,-2,-2,-2,-2,1,1,0,-2
"97","North","male","25-34",-1,0,-1,1,NA,1,1,0,0,1,0,NA,-1,-2,-1,1,-1,NA,0,-1,NA,NA,0,-1,-1,-1,-1
"98","Jerusalem","female","25-34",-1,1,-1,-1,0,-1,-2,-1,0,-1,-1,-2,0,-2,1,0,-1,NA,-1,-2,-2,-1,0,-1,-1,-1,0
"99","North","female","25-34",2,2,0,1,1,0,0,1,0,0,0,-1,1,-2,-1,-1,1,-1,0,0,0,-2,-1,1,0,NA,-1
"100","North","female","25-34",1,0,-1,0,0,-1,-2,-1,1,0,0,-2,1,-1,0,-1,-1,1,-1,-2,-1,-2,NA,-2,0,-2,-2
"101","Center","female","25-34",0,2,0,1,1,0,-2,1,-1,0,-1,1,-1,-2,0,-1,0,0,-1,0,1,-1,0,-1,1,-1,-1
"102","North","female","25-34",0,2,-2,-1,0,0,-2,-2,1,0,1,-1,-2,-2,-2,1,-1,-1,-1,-1,-2,0,1,-2,-1,0,0
"103","Jerusalem","female","25-34",1,1,0,0,1,0,-1,-1,1,-1,0,1,-1,-2,-1,-1,0,0,0,0,-1,-2,1,-1,-1,-1,-1
"104","South","male","25-34",0,1,0,0,1,-1,-1,-2,-1,-1,-1,-1,0,-1,-1,-1,0,1,-2,1,-2,-2,0,-1,0,0,-1
"105","Center","female","25-34",0,0,-1,1,1,0,0,1,0,0,-1,0,-1,-2,-1,-2,0,0,0,1,0,-2,1,0,1,-1,1
"106","South","male","25-34",1,2,0,1,1,1,NA,1,0,0,-2,0,1,-2,0,-2,-2,0,-2,1,1,-2,0,-1,-1,-1,-1
"107","North","male","25-34",0,1,-1,0,1,1,-1,-1,0,-1,0,-1,-1,-2,-1,-1,0,0,1,-1,-2,-1,0,-2,0,-1,-1
"108","North","male","25-34",1,0,0,1,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-2,1,-1,-2,0,-1
"109","South","male","25-34",1,1,-1,1,1,0,-1,-1,0,-1,0,-1,0,-2,-1,-1,0,0,0,-2,-2,-2,-1,0,-1,0,0
"110","Judea and Samaria","female","25-34",1,1,-1,0,0,0,-1,-1,0,-1,0,-1,0,-1,0,0,1,0,-1,-2,-1,-1,-1,1,0,0,0
"111","Center","female","25-34",2,1,0,NA,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,-2,-2,1,NA,0,NA,NA
"112","Haifa","male","25-34",1,1,0,1,1,0,-1,-1,-1,-2,0,-1,0,-2,-1,0,-1,0,-1,-1,-2,0,-1,0,-2,0,0
"113","Center","female","25-34",-2,1,-1,0,0,-1,1,-2,-1,-1,0,-1,0,-2,0,0,0,0,0,-1,1,0,0,-2,1,-1,-1
"114","North","male","25-34",0,0,-1,-1,1,1,1,1,0,1,1,-2,0,-2,0,1,1,-2,0,1,0,-2,1,NA,1,1,-2
"115","Haifa","female","25-34",1,1,-1,-1,1,0,-2,0,0,0,0,1,0,-2,0,1,1,0,NA,-2,-1,-2,1,-2,-2,-1,0
"116","Center","female","25-34",2,2,1,1,1,-2,-2,0,-1,NA,-2,-2,-1,-2,-2,-2,NA,-1,1,1,-2,-2,1,0,0,-1,-1
"117","Center","female","25-34",-2,2,-2,-2,1,1,1,0,-2,-1,-1,-2,0,-2,-1,-2,0,0,-1,NA,-1,-2,-1,0,1,1,1
"118","South","female","25-34",-1,2,-1,0,1,1,-2,1,-1,-1,0,-1,1,-2,0,-1,0,1,-2,0,-1,-2,1,0,0,0,0
"119","South","female","25-34",1,1,-1,0,1,-1,0,1,-1,0,1,-1,0,-1,0,-1,0,0,-1,-1,-2,-2,0,NA,0,-1,-1
"120","South","male","25-34",-1,0,-2,1,1,0,1,0,0,0,1,-2,0,-2,0,-2,0,0,1,1,0,-1,1,-1,1,0,-1
"121","South","female","25-34",1,2,0,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1
"122","Center","male","25-34",0,1,-1,0,1,0,-1,1,1,0,0,-1,1,-1,1,0,-1,0,-1,1,0,-1,0,0,1,-1,NA
"123","South","male","25-34",-2,1,-2,-1,1,0,-2,1,0,0,0,0,0,-1,0,-1,1,1,-2,0,-1,-2,0,0,1,1,0
"124","North","female","25-34",-1,0,-1,1,0,0,-2,-1,0,-1,0,0,0,-1,1,0,0,1,-2,1,-2,0,-1,-1,0,0,0
"125","Jerusalem","male","25-34",0,1,-1,0,1,1,-1,1,1,-1,0,-1,0,-2,0,NA,1,-1,-2,-1,-2,NA,0,0,0,-1,-1
